Target,Class,Type,Vulnerability ID,Package,Installed Version,Fixed Version,Severity,Status
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-27456,bsdutils,1:2.37.2-4ubuntu3.5,,MEDIUM,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2022-27943,gcc-12-base,12.3.0-1ubuntu1~22.04.3,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-54371,libattr1,1:2.5.1-1build1,,MEDIUM,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-27456,libblkid1,2.37.2-4ubuntu3.5,,MEDIUM,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2025-66382,libexpat1,2.4.7-1ubuntu0.7,,MEDIUM,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2022-27943,libgcc-s1,12.3.0-1ubuntu1~22.04.3,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2024-2236,libgcrypt20,1.9.4-3ubuntu3.2,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-27456,libmount1,2.37.2-4ubuntu3.5,,MEDIUM,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2023-50495,libncurses6,6.3-2ubuntu0.2,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2023-50495,libncursesw6,6.3-2ubuntu0.2,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-13757,libp11-kit0,0.24.0-6build1,,MEDIUM,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2022-41409,libpcre2-8-0,10.39-3ubuntu0.1,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-27456,libsmartcols1,2.37.2-4ubuntu3.5,,MEDIUM,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-63072,libssl3,3.0.2-0ubuntu1.26,3.0.2-0ubuntu1.29,MEDIUM,fixed
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-63076,libssl3,3.0.2-0ubuntu1.26,3.0.2-0ubuntu1.29,MEDIUM,fixed
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-54874,libssl3,3.0.2-0ubuntu1.26,3.0.2-0ubuntu1.29,LOW,fixed
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-63074,libssl3,3.0.2-0ubuntu1.26,3.0.2-0ubuntu1.29,LOW,fixed
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-75803,libssl3,3.0.2-0ubuntu1.26,3.0.2-0ubuntu1.29,LOW,fixed
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2022-27943,libstdc++6,12.3.0-1ubuntu1~22.04.3,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-40228,libsystemd0,249.11-0ubuntu3.22,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2023-50495,libtinfo6,6.3-2ubuntu0.2,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-40228,libudev1,249.11-0ubuntu3.22,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-27456,libuuid1,2.37.2-4ubuntu3.5,,MEDIUM,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2022-4899,libzstd1,1.4.8+dfsg-3build1,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2023-29383,login,1:4.8.1-2ubuntu2.2,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2024-56433,login,1:4.8.1-2ubuntu2.2,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-27456,mount,2.37.2-4ubuntu3.5,,MEDIUM,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2023-50495,ncurses-base,6.3-2ubuntu0.2,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2023-50495,ncurses-bin,6.3-2ubuntu0.2,,LOW,affected
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-63072,openssl,3.0.2-0ubuntu1.26,3.0.2-0ubuntu1.29,MEDIUM,fixed
health-watch-api:test (ubuntu 22.04),os-pkgs,ubuntu,CVE-2026-63076,openssl,3.0.2-0ubuntu1.26,3.0.2-0ubuntu1.29,MEDIUM,fixed
